Order ID,Customer Name,Order Date,Product Category,Quantity,Price,Total Amount,Country
ORD11339,Customer_1339,2023-02-25 19:00:00,Sports,2,237.36,474.72,United States
ORD11222,Customer_1222,2023-02-20 22:00:00,Home,4,43.77,175.08,United States
ORD11106,Customer_1106,2023-02-16 02:00:00,Electronics,8,185.3,1482.4,Canada
ORD10812,Customer_812,2023-02-03 20:00:00,Electronics,6,356.64,2139.84,France
ORD11231,Customer_1231,2023-02-21 07:00:00,Clothing,8,363.98,2911.84,United States
ORD10565,Customer_565,2023-01-24 13:00:00,Home,3,405.85,1217.5500000000002,Canada
ORD10845,Customer_845,2023-02-05 05:00:00,Sports,1,427.58,427.58,United Kingdom
ORD11004,Customer_1004,2023-02-11 20:00:00,Sports,4,292.84,1171.36,Canada
ORD12283,Customer_2283,2023-04-06 03:00:00,Electronics,7,150.52,1053.64,U.K.
ORD10700,Customer_700,2023-01-30 04:00:00,Books,9,293.69,2643.21,Canada
ORD11503,Customer_1503,2023-03-04 15:00:00,Books,9,369.48,3325.32,United Kingdom
ORD10528,Customer_528,2023-01-23 00:00:00,Sports,9,372.15,3349.35,U.K.
ORD12289,Customer_2289,2023-04-06 09:00:00,Books,9,438.31,3944.79,Canada
ORD11053,Customer_1053,2023-02-13 21:00:00,Electronics,8,14.68,117.44,United States
ORD12410,Customer_2410,2023-04-11 10:00:00,Electronics,6,465.6,2793.6000000000004,Germany
ORD11123,Customer_1123,2023-02-16 19:00:00,Books,9,396.22,3565.9800000000005,U.K.
ORD10881,Customer_881,2023-02-06 17:00:00,Sports,4,181.6,726.4,Canada
ORD12299,Customer_2299,2023-04-06 19:00:01,Clothing,5,241.13,1205.65,United Kingdom
ORD10942,Customer_942,2023-02-09 06:00:00,Books,3,226.99,680.97,Germany
ORD10869,Customer_869,2023-02-06 05:00:00,Home,7,218.23,1254.8823322932917,United States
ORD12347,Customer_2347,2023-04-08 19:00:00,Electronics,9,376.28,3386.5199999999995,Germany
ORD10478,Customer_478,2023-01-20 22:00:00,Sports,9,242.26,2180.34,Germany
ORD11847,Customer_1847,2023-03-18 23:00:00,Clothing,9,388.85,3499.65,United States
ORD11270,Customer_1270,2023-02-22 22:00:00,Electronics,2,288.96,577.92,United States
ORD11578,Customer_1578,2023-03-07 18:00:00,Books,7,265.65,1859.55,Germany
ORD11709,Customer_1709,2023-03-13 05:00:00,Sports,6,22.09,1254.8823322932917,United States
ORD10233,Customer_233,2023-01-10 17:00:00,Home,7,479.03,3353.21,United States
ORD12209,Customer_2209,2023-04-03 01:00:00,Sports,7,133.55,934.85,France
ORD10365,Customer_365,2023-01-16 05:00:00,Sports,1,99.4,99.4,U.K.
ORD11055,Customer_1055,2023-02-13 23:00:00,Books,2,194.17,388.34,Germany
ORD11598,Customer_1598,2023-03-08 14:00:01,Sports,5,246.74,1233.7,United Kingdom
ORD12039,Customer_2039,2023-03-26 23:00:00,Sports,3,264.65,793.9499999999999,United Kingdom
ORD10879,Customer_879,2023-02-06 15:00:00,Books,2,179.64,359.28,Germany
ORD12233,Customer_2233,2023-04-04 01:00:01,Clothing,3,40.62,121.86,Canada
ORD11956,Customer_1956,2023-03-23 12:00:00,Home,4,172.51,690.04,United Kingdom
ORD12377,Customer_2377,2023-04-10 01:00:01,Electronics,10,228.71,2287.1,France
ORD11832,Customer_1832,2023-03-18 08:00:00,Clothing,8,400.46,3203.68,Germany
ORD10509,Customer_509,2023-01-22 05:00:00,Electronics,2,439.33,878.66,United Kingdom
ORD11080,Customer_1080,2023-02-15 00:00:00,Electronics,6,308.66,1851.96,France
ORD10354,Customer_354,2023-01-15 18:00:00,Clothing,8,466.53,3732.24,U.K.
ORD10324,Customer_324,2023-01-14 12:00:00,Electronics,8,199.85,1598.8,United Kingdom
ORD12004,Customer_2004,2023-03-25 12:00:00,Sports,7,478.39,3348.73,France
ORD10443,Customer_443,2023-01-19 11:00:00,Books,6,467.59,2805.54,U.K.
ORD12401,Customer_2401,2023-04-11 01:00:00,Home,6,385.91,2315.46,United Kingdom
ORD10393,Customer_393,2023-01-17 09:00:00,Electronics,5,303.98,1519.9,U.K.
ORD10270,Customer_270,2023-01-12 06:00:00,Books,9,212.08,1908.72,France
ORD12064,Customer_2064,2023-03-28 00:00:00,Electronics,5,60.22,301.1,Germany
ORD10464,Customer_464,2023-01-20 08:00:00,Clothing,6,497.78,2986.68,Canada
ORD11569,Customer_1569,2023-03-07 09:00:00,Books,8,342.65,2741.2,France
ORD10544,Customer_544,2023-01-23 16:00:00,Electronics,2,432.83,1254.8823322932917,Canada
ORD10572,Customer_572,2023-01-24 20:00:00,Books,5,164.17,820.8499999999999,Germany
ORD10291,Customer_291,2023-01-13 03:00:00,Electronics,8,360.06,2880.48,United States
ORD11805,Customer_1805,2023-03-17 05:00:00,Clothing,1,59.93,59.93,United Kingdom
ORD12145,Customer_2145,2023-03-31 09:00:00,Sports,2,256.72,513.44,United States
ORD11391,Customer_1391,2023-02-27 23:00:00,Electronics,1,290.65,290.65,United Kingdom
ORD11600,Customer_1600,2023-03-08 16:00:01,Sports,4,309.46,1237.84,United Kingdom
ORD10471,Customer_471,2023-01-20 15:00:00,Sports,6,92.06,552.36,France
ORD12144,Customer_2144,2023-03-31 08:00:01,Sports,8,319.74,2557.92,France
ORD10611,Customer_611,2023-01-26 11:00:00,Electronics,9,67.93,611.3700000000001,Germany
ORD10986,Customer_986,2023-02-11 02:00:00,Sports,7,426.75,1254.8823322932917,Germany
ORD11927,Customer_1927,2023-03-22 07:00:00,Books,6,95.69,574.14,Canada
ORD10945,Customer_945,2023-02-09 09:00:00,Books,6,476.53,2859.18,Canada
ORD10188,Customer_188,2023-01-08 20:00:00,Electronics,3,339.47,1018.41,Canada
